mmsi,General Classification,tonnage
316001023,FISHING VESSEL,115
316001027,FISHING VESSEL,83
316001028,FISHING VESSEL,40
316001125,FISHING VESSEL,183
316001164,FISHING VESSEL,38
316001170,FISHING VESSEL,60
316001250,FISHING VESSEL,109
316001360,OFFICIAL SERVICE SHIP,15
316001412,FISHING VESSEL,188
316001449,FISHING VESSEL,310
316001453,FISHING VESSEL,368
316001454,FISHING VESSEL,312
316001464,FISHING VESSEL,38
316001494,FISHING VESSEL,78
316001514,FISHING VESSEL,139
316001577,FISHING VESSEL,286
316001590,FISHING VESSEL,183
316001610,FISHING VESSEL,76
316001649,FISHING VESSEL,93
316001722,FISHING VESSEL,128
316001726,FISHING VESSEL,145
316001738,FISHING VESSEL,3320
316001759,RESCUE VESSEL,99
316001765,FISHING VESSEL,8
316001821,FISHING VESSEL,450
316001828,FISHING VESSEL,498
316001832,FISHING VESSEL,148
316001833,FISHING VESSEL,79
316001843,FISHING VESSEL,139
316001850,FISHING VESSEL,282
316001851,FISHING VESSEL,46
316001854,FISHING VESSEL,46
316001860,FISHING VESSEL,60
316001891,FISHING VESSEL,110
316001916,FISHING VESSEL,127
316001949,FISHING VESSEL,139
316001955,FISHING VESSEL,126
316001957,FISHING VESSEL,38
316001963,FISHING VESSEL,139
316001969,FISHING VESSEL,122
316001971,FISHING VESSEL,78
316001973,FISHING VESSEL,33
316001977,FISHING VESSEL,136
316001980,FISHING VESSEL,115
316001989,FISHING VESSEL,95
316001990,FISHING VESSEL,69
316001997,FISHING VESSEL,98
316002010,FISHING VESSEL,100
316002012,FISHING VESSEL,89
316002021,FISHING VESSEL,78
316002023,FISHING VESSEL,53
316002032,FISHING VESSEL,98
316002051,FISHING VESSEL,46
316002052,FISHING VESSEL,18
316002087,FISHING VESSEL,40
316002090,FISHING VESSEL,59
316002097,FISHING VESSEL,88
316002109,FISHING VESSEL,51
316002155,PLEASURECRAFT,5
316002160,FISHING VESSEL,99
316002174,FISHING VESSEL,136
316002176,FISHING VESSEL,45
316002231,FISHING VESSEL,80
316002232,FISHING VESSEL,22
316002303,FISHING VESSEL,116
316002306,FISHING VESSEL,30
316002310,FISHING VESSEL,30
316002311,FISHING VESSEL,31
316002318,FISHING VESSEL,29
316002327,FISHING VESSEL,42
316002333,FISHING VESSEL,39
316002350,FISHING VESSEL,128
316002372,FISHING VESSEL,46
316002374,FISHING VESSEL,46
316002375,FISHING VESSEL,30
316002386,FISHING VESSEL,66
316002398,FISHING VESSEL,81
316002406,FISHING VESSEL,116
316002410,FISHING VESSEL,14
316002445,FISHING VESSEL,97
316002453,FISHING VESSEL,12
316002487,FISHING VESSEL,98
316002500,MERCHANT SHIP,446
316002507,FISHING VESSEL,27
316002514,PLEASURECRAFT,4
